berita,label
Timnas Indonesia menang dengan skor 3-1 melawan Malaysia dalam pertandingan sepak bola	,1
Pebasket NBA mencetak 30 poin dalam pertandingan sengit tadi malam	,1
Real Madrid berhasil mencetak gol kemenangan di menit terakhir,1
Tim balap MotoGP bersiap menghadapi balapan berikutnya	,1
"Arman Mundur, Islam Makhachev vs Moicano di UFC 311",1
Menteri ekonomi mengumumkan kebijakan baru untuk UMKM	,0
Saham perusahaan teknologi naik drastis setelah laporan pendapatan	,3
Pemerintah mengadakan program bantuan untuk masyarakat kurang mampu	,0
Isu Reshuffle Kabinet Usai Sri Mulyani Bertemu Prabowo Ditepis,0
Pendidik Indonesia Harus Terdepan Manfaatkan AI dalam Lanskap Pendidikan,0
Sofie Imam Resmi Gabung Tim Pelatih Timnas Indonesia,1
Liverpool Vs PSG: Menang Adu Penalti,1
Atletico Vs Madrid: Los Blancos Lolos ke 8 Besar lewat Adu Penalti,1
Alex Pereira vs Magomed Ankalaev Jilid 2 Dapat Lampu Hijau dari Presiden UFC,1
Steph Curry cetak sejarah pertama NBA capai 4.000 tripoin,1
Banjir Rendam 5 Kecamatan hingga Longsor di Padangsidimpuan Sumut,4
728 warga mengungsi pasca banjir Padangsidimpuan,4
"Kedutaan Besar India Tawarkan Beasiswa Pendidikan untuk 5 Warga Solo, Simak Syaratnya",0
Mantan Gubernur Maluku Utara Abdul Gani Kasuba Meninggal,0
"Pagar Laut Dibongkar, Lalu Apa? Ini yang Harus Dilakukan Menteri dan Polisi
",0
KPK Telusuri Peredaran Dana Nonbujeter Bank BJB yang Diperoleh dari Penggeledahan dan PPATK,2
KPK Bawa 8 Orang yang Terjaring OTT Kabupaten Ogan Komering Ulu ke Jakarta Malam Ini,2
Polda Kepri Gagalkan Penyelundupan Rokok 153.272 Batang ke Singapura,2
"Skandal Narkoba Eks Polisi yang juga Direktur Persiba Balikpapan Terungkap, Dia Bandar Besar?",2
"KPK OTT DPRD Ogan Komering Ulu Sumsel, 8 Orang Dibawa ke Jakarta",2
"Selain Sita Deposito Rp 70 Miliar di Korupsi Bank BJB, KPK Telah Petakan Nama Penikmat Dana Nonbujeter",2
Veronica Tan Dorong Polisi Dalami Kasus Kapolres Ngada untuk Antisipasi Adanya Korban Lain,2
Komnas HAM Desak Evaluasi Menyeluruh di Kepolisian Pasca Kasus Eks Kapolres Ngada,2
Polisi Gagalkan Penyelundupan Ribuan Botol Arak Bali Ilegal di Banyuwangi,2
"Kronologi Polisi Polda Jawa Tengah Bunuh Bayi Sendiri
",2
